Time,Data
2024-04-20 17:02:22,Vulnerable 6's image and bbox are updated.
2024-04-20 17:02:23,license Plate is detected. tracker_id: 6
2024-04-20 17:02:23,"license Code has been read: 
6 : sel "
2024-04-20 17:02:23,Vulnerable 1's image and bbox are updated.
2024-04-20 17:02:23,license Plate is detected. tracker_id: 1
2024-04-20 17:02:23,"license Code has been read: 
1 : sel "
2024-04-20 17:02:23,Vulnerable 1's image and bbox are updated.
2024-04-20 17:02:24,license Plate is detected. tracker_id: 1
2024-04-20 17:02:24,"license Code has been read: 
1 : sel "
2024-04-20 17:02:24,Vulnerable 1's image and bbox are updated.
2024-04-20 17:02:25,Vulnerable 1's image and bbox are updated.
2024-04-20 17:02:25,Vulnerable 6's image and bbox are updated.
2024-04-20 17:02:26,license Plate is detected. tracker_id: 6
2024-04-20 17:02:26,"license Code has been read: 
6 : sel "
2024-04-20 17:02:26,Vulnerable 1's image and bbox are updated.
2024-04-20 17:02:27,Vulnerable 1's image and bbox are updated.
2024-04-20 17:02:27,license Plate is detected. tracker_id: 1
2024-04-20 17:02:27,"license Code has been read: 
1 : sel "
2024-04-20 17:02:27,Vulnerable 1's image and bbox are updated.
2024-04-20 17:02:28,license Plate is detected. tracker_id: 1
2024-04-20 17:02:28,"license Code has been read: 
1 : sel "
2024-04-20 17:02:28,Vulnerable 1's image and bbox are updated.
2024-04-20 17:02:29,license Plate is detected. tracker_id: 1
2024-04-20 17:02:29,"license Code has been read: 
1 : sel "
2024-04-20 17:02:29,Vulnerable 1's image and bbox are updated.
2024-04-20 17:02:29,license Plate is detected. tracker_id: 1
2024-04-20 17:02:29,"license Code has been read: 
1 : sel "
2024-04-20 17:02:29,Vulnerable 1's image and bbox are updated.
2024-04-20 17:02:30,license Plate is detected. tracker_id: 1
2024-04-20 17:02:30,"license Code has been read: 
1 : sel "
2024-04-20 17:02:30,Vulnerable 1's image and bbox are updated.
2024-04-20 17:02:31,license Plate is detected. tracker_id: 1
2024-04-20 17:02:31,"license Code has been read: 
1 : sel "
2024-04-20 17:02:31,Vulnerable 1's image and bbox are updated.
2024-04-20 17:02:31,license Plate is detected. tracker_id: 1
2024-04-20 17:02:31,"license Code has been read: 
1 : sel "
2024-04-20 17:02:31,Vulnerable 1's image and bbox are updated.
2024-04-20 17:02:32,license Plate is detected. tracker_id: 1
2024-04-20 17:02:32,"license Code has been read: 
1 : sel "
2024-04-20 17:02:32,Vulnerable 1's image and bbox are updated.
2024-04-20 17:02:33,license Plate is detected. tracker_id: 1
2024-04-20 17:02:33,"license Code has been read: 
1 : sel "
2024-04-20 17:02:33,Vulnerable 1's image and bbox are updated.
2024-04-20 17:02:33,license Plate is detected. tracker_id: 1
2024-04-20 17:02:33,"license Code has been read: 
1 : sel "
2024-04-20 17:02:33,Vulnerable 1's image and bbox are updated.
2024-04-20 17:02:34,license Plate is detected. tracker_id: 1
2024-04-20 17:02:34,license Plate is detected. tracker_id: 1
2024-04-20 17:02:34,"license Code has been read: 
1 : sel "
2024-04-20 17:02:34,Vulnerable 1's image and bbox are updated.
2024-04-20 17:02:35,license Plate is detected. tracker_id: 1
2024-04-20 17:02:35,"license Code has been read: 
1 : sel "
2024-04-20 17:02:35,Vulnerable 6's image and bbox are updated.
2024-04-20 17:02:35,license Plate is detected. tracker_id: 6
2024-04-20 17:02:35,"license Code has been read: 
6 : sel "
2024-04-20 17:02:35,Vulnerable 1's image and bbox are updated.
2024-04-20 17:02:36,license Plate is detected. tracker_id: 1
2024-04-20 17:02:36,"license Code has been read: 
1 : sel "
2024-04-20 17:02:36,Vulnerable 1's image and bbox are updated.
2024-04-20 17:02:36,license Plate is detected. tracker_id: 1
2024-04-20 17:02:36,"license Code has been read: 
1 : sel "
2024-04-20 17:02:36,Vulnerable 6's image and bbox are updated.
2024-04-20 17:02:37,license Plate is detected. tracker_id: 6
2024-04-20 17:02:37,"license Code has been read: 
6 : sel "
2024-04-20 17:02:37,Vulnerable 6's image and bbox are updated.
2024-04-20 17:02:37,license Plate is detected. tracker_id: 6
2024-04-20 17:02:37,"license Code has been read: 
6 : sel "
2024-04-20 17:02:37,Vulnerable 1's image and bbox are updated.
2024-04-20 17:02:38,Vulnerable 1's image and bbox are updated.
2024-04-20 17:02:38,Vulnerable 6's image and bbox are updated.
2024-04-20 17:02:39,Vulnerable 1's image and bbox are updated.
2024-04-20 17:02:39,Vulnerable 1's image and bbox are updated.
2024-04-20 17:02:40,Vulnerable 1's image and bbox are updated.
2024-04-20 17:02:41,Vulnerable 1's image and bbox are updated.
2024-04-20 17:02:41,Vulnerable 1's image and bbox are updated.
2024-04-20 17:02:42,Vulnerable 1's image and bbox are updated.
2024-04-20 17:02:43,Vulnerable 1's image and bbox are updated.
2024-04-20 17:02:43,Vulnerable 1's image and bbox are updated.
2024-04-20 17:02:44,Vulnerable 1's image and bbox are updated.
2024-04-20 17:02:45,license Plate is detected. tracker_id: 1
2024-04-20 17:02:45,"license Code has been read: 
1 : sel "
2024-04-20 17:02:45,Vulnerable 1's image and bbox are updated.
2024-04-20 17:02:46,Vulnerable 1's image and bbox are updated.
2024-04-20 17:02:46,license Plate is detected. tracker_id: 1
2024-04-20 17:02:46,"license Code has been read: 
1 : ogun_onargan "
2024-04-20 17:02:46,Vulnerable 1's image and bbox are updated.
2024-04-20 17:02:47,license Plate is detected. tracker_id: 1
2024-04-20 17:02:47,"license Code has been read: 
1 : ogun_onargan "
2024-04-20 17:02:47,Vulnerable 1's image and bbox are updated.
2024-04-20 17:02:47,license Plate is detected. tracker_id: 1
2024-04-20 17:02:47,"license Code has been read: 
1 : ogun_onargan "
2024-04-20 21:56:38,licenseCode Recognizer has been started...
2024-04-20 21:56:38,license Code Recognition system has been shut down.
2024-04-20 21:57:05,licenseCode Recognizer has been started...
2024-04-20 21:57:05,license Code Recognition system has been shut down.
2024-04-20 21:57:08,Vulnerable Location Checker has been started...
2024-04-20 21:57:12,licenseCode Recognizer has been started...
2024-04-20 21:57:12,license Code Recognition system has been shut down.
2024-04-20 21:57:12,licenseCode Recognizer has been started...
2024-04-20 21:57:12,license Code Recognition system has been shut down.
2024-04-20 21:57:12,licenseCode Recognizer has been started...
2024-04-20 21:57:12,license Code Recognition system has been shut down.
2024-04-20 21:59:44,licenseCode Recognizer has been started...
2024-04-20 21:59:44,license Code Recognition system has been shut down.
2024-04-20 22:00:02,licenseCode Recognizer has been started...
2024-04-20 22:00:02,license Code Recognition system has been shut down.
2024-04-20 22:01:32,licenseCode Recognizer has been started...
